Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 97.32   259.83    259.83        2 129915.00 129915.00  Thread#join
 97.32   519.66    259.83        1 259830.00 259830.00  IO.select
 97.32   779.49    259.83        2 129915.00 129915.00  TCPServer#accept
 97.31  1039.30    259.81      276   941.34   941.34  Kernel#sleep
  3.27  1048.03      8.73   240440     0.04     0.18  BinData::Struct#instantiate_obj_at
  2.76  1055.39      7.36   149635     0.05     0.21  BinData::Struct#find_obj_for_name
  2.42  1061.84      6.45   144408     0.04     0.85  BinData::Struct#snapshot
  2.30  1067.97      6.13   210283     0.03     0.03  Kernel#define_singleton_method
  2.11  1073.60      5.63   108245     0.05     3.01  Array#each
  2.09  1079.18      5.58   149635     0.04     0.05  BinData::Struct#base_field_name
  2.08  1084.73      5.55   422587     0.01     0.07  BasicObject#!=
  1.98  1090.01      5.28   357968     0.01     0.11  BinData::BasePrimitive#snapshot
  1.95  1095.22      5.21   346989     0.02     0.10  BinData::BasePrimitive#_value
  1.84  1100.14      4.92   217472     0.02     0.06  BinData::Struct#include_obj?
  1.81  1104.97      4.83   101023     0.05     0.07  Kernel#dup
  1.81  1109.79      4.82   371036     0.01     0.02  BinData::Base#has_parameter?
  1.75  1114.45      4.66   133763     0.03     0.11  BinData::BasePrimitive#method_missing
  1.73  1119.07      4.62   182214     0.03     0.03  BinData::SanitizedField#name_as_sym
  1.72  1123.67      4.60    70000     0.07     0.17  BinData::Struct#define_field_accessors_for
  1.39  1127.37      3.70   130486     0.03     0.29  BinData::Base#new
  1.36  1130.99      3.62   380606     0.01     0.01  Fixnum#==
  1.31  1134.48      3.49   215785     0.02     0.02  BinData::Base#get_parameter
  1.22  1137.73      3.25   475590     0.01     0.01  Kernel#respond_to?
  1.21  1140.97      3.24   142319     0.02     0.03  BinData::Struct::Snapshot#[]=
  1.19  1144.15      3.18    22148     0.14     0.21  BinData::BaseArgProcessor#separate_args
  1.14  1147.19      3.04    50637     0.06     0.14  BinData::IO::Read#readbytes
  1.12  1150.18      2.99   821744     0.00     0.00  Kernel#nil?
  1.06  1153.01      2.83   112895     0.03     0.22  BinData::Primitive#method_missing
  1.03  1155.75      2.74    17725     0.15     0.30  Pio::Mac#initialize
  1.01  1158.45      2.70     4697     0.57     3.93  Hash#inspect
  1.01  1161.14      2.69   134656     0.02     0.04  Kernel#clone
  0.97  1163.74      2.60    78225     0.03     0.44  Pio::OpenFlow10::Match::Wildcards#get
  0.91  1166.18      2.44   789196     0.00     0.00  Array#[]
  0.90  1168.59      2.41    50543     0.05     0.22  BinData::BasePrimitive#assign
  0.90  1170.98      2.39    93570     0.03     0.37  BinData::Struct#define_field_accessors
  0.89  1173.35      2.37   165567     0.01     2.04  Class#new
  0.86  1175.65      2.30    59455     0.04     0.40  BinData::Base#eval_parameter
  0.80  1177.79      2.14    46870     0.05     0.14  IPAddr#_to_string
  0.78  1179.87      2.08   134656     0.02     0.02  Kernel#initialize_clone
  0.72  1181.79      1.92    38138     0.05     0.46  Array#collect
  0.72  1183.70      1.91   130155     0.01     0.09  BinData::SanitizedFields#field_names
  0.71  1185.59      1.89   130486     0.01     0.30  BinData::SanitizedPrototype#instantiate
  0.63  1187.27      1.68    44805     0.04     0.27  BinData::BasePrimitive#do_write
  0.63  1188.94      1.67    62198     0.03     2.41  BinData::Struct#do_read
  0.57  1190.46      1.52   110653     0.01     0.50  BinData::Struct#instantiate_all_objs
  0.57  1191.98      1.52    26054     0.06     0.07  BinData::Uint8#value_to_binary_string
  0.57  1193.50      1.52    21474     0.07     1.51  BinData::Struct#initialize_shared_instance
  0.56  1195.00      1.50    44805     0.03     0.05  BinData::IO::Write#write_raw
  0.55  1196.48      1.48    54290     0.03     0.04  BinData::IO::Read::SeekableStream#read_raw
